Date	    Open	    Close
01.01.24	0.089473	0.092024
01.02.24	0.092037	0.091204
01.03.24	0.091205	0.082042
01.04.24	0.082049	0.084131
01.05.24	0.084121	0.082773
01.06.24	0.082773	0.080664
01.07.24	0.080668	0.078225
01.08.24	0.078228	0.08137
01.09.24	0.081378	0.079263
01.10.24	0.079263	0.082942
01.11.24	0.082969	0.084625
01.12.24	0.084615	0.080046
01.13.24	0.080036	0.080923
01.14.24	0.080921	0.079978
01.15.24	0.079969	0.081125
01.16.24	0.081106	0.08131
01.17.24	0.081312	0.080505
01.18.24	0.080509	0.077987
01.19.24	0.077988	0.078536
01.20.24	0.078534	0.087888
01.21.24	0.087868	0.085273
01.22.24	0.085292	0.080341
01.23.24	0.080346	0.078154
01.24.24	0.078157	0.079016
01.25.24	0.079016	0.077933
01.26.24	0.077929	0.079901
01.27.24	0.079883	0.080142
01.28.24	0.08014	    0.078813
01.29.24	0.078813	0.081289
01.30.24	0.0813	    0.079723
01.31.24	0.079729	0.078764
02.01.24	0.078763	0.079327
02.02.24	0.079327	0.079233
02.03.24	0.079234	0.078651
02.04.24	0.078658	0.078238
02.05.24	0.078248	0.07822
02.06.24	0.078226	0.078466
02.07.24	0.07847	    0.080104
02.08.24	0.080101	0.079871
02.09.24	0.07987	    0.081579
02.10.24	0.081582	0.081448
02.11.24	0.081447	0.081193
02.12.24	0.081203	0.082345
02.13.24	0.082333	0.081089
02.14.24	0.081086	0.085543
02.15.24	0.085546	0.085356
02.16.24	0.085355	0.086013
02.17.24	0.086016	0.083593
02.18.24	0.083592	0.085166
02.19.24	0.085169	0.089477
02.20.24	0.089474	0.086143
02.21.24	0.086148	0.084615
02.22.24	0.084605	0.084089
02.23.24	0.084083	0.084434
02.24.24	0.084448	0.086156
02.25.24	0.086157	0.086099
02.26.24	0.086098	0.089389
02.27.24	0.089388	0.097671
02.28.24	0.097673	0.116582
02.29.24	0.116447	0.117185
03.01.24	0.117167	0.139557
03.02.24	0.139614	0.142121
03.03.24	0.142131	0.153836
03.04.24	0.153941	0.18291
03.05.24	0.182804	0.153937
03.06.24	0.153925	0.157791
03.07.24	0.157791	0.158121
03.08.24	0.15812	    0.165347
03.09.24	0.165347	0.179083
03.10.24	0.179083	0.16992
03.11.24	0.169907	0.181965
03.12.24	0.181973	0.168144
03.13.24	0.168152	0.169158
03.14.24	0.169158	0.17733
03.15.24	0.177329	0.163231
03.16.24	0.163231	0.142368
03.17.24	0.142364	0.15433
03.18.24	0.154328	0.143673
03.19.24	0.143673	0.128728
03.20.24	0.128735	0.152186
03.21.24	0.152186	0.155292
03.22.24	0.1553	    0.152703
03.23.24	0.152703	0.161768
03.24.24	0.161768	0.176453
03.25.24	0.176453	0.175367
03.26.24	0.175367	0.182486
03.27.24	0.182486	0.19033
03.28.24	0.190317	0.220056
03.29.24	0.220056	0.213491
03.30.24	0.213424	0.199434
03.31.24	0.199413	0.220064
04.01.24	0.220065	0.20557
04.02.24	0.205575	0.182304
04.03.24	0.182302	0.175547
04.04.24	0.175547	0.179926
04.05.24	0.179926	0.177518
04.06.24	0.177521	0.185951
04.07.24	0.185949	0.199108
04.08.24	0.199106	0.20264
04.09.24	0.20264	    0.189001
04.10.24	0.189001	0.199984
04.11.24	0.199984	0.194011
04.12.24	0.194011	0.174597
04.13.24	0.174612	0.153168
04.14.24	0.153168	0.162285
04.15.24	0.162285	0.161369
04.16.24	0.161369	0.155989
04.17.24	0.15599	    0.147605
04.18.24	0.147606	0.152448
04.19.24	0.152448	0.156268
04.20.24	0.156268	0.162827
04.21.24	0.162826	0.15826
04.22.24	0.158259	0.161194
04.23.24	0.161194	0.159944
04.24.24	0.159944	0.151354
04.25.24	0.151356	0.151394
04.26.24	0.151394	0.147837
04.27.24	0.147837	0.147716
04.28.24	0.147716	0.146699
04.29.24	0.146699	0.143492
04.30.24	0.143492	0.133327
05.01.24	0.133327	0.130134
05.02.24	0.130134	0.132106
05.03.24	0.132109	0.146146
05.04.24	0.146142	0.160157
05.05.24	0.160157	0.161068
05.06.24	0.161066	0.156608
05.07.24	0.156608	0.15019
05.08.24	0.15019	    0.143294
05.09.24	0.143294	0.152117
05.10.24	0.152117	0.144031
05.11.24	0.144031	0.142924
05.12.24	0.142925	0.141231
05.13.24	0.141231	0.148434
05.14.24	0.148433	0.145419
05.15.24	0.145419	0.155526
05.16.24	0.155529	0.149637
05.17.24	0.149637	0.155563
05.18.24	0.155563	0.153077
05.19.24	0.153077	0.149107
05.20.24	0.149107	0.165688
05.21.24	0.165688	0.170474
05.22.24	0.170474	0.166163
05.23.24	0.166163	0.159613
05.24.24	0.159613	0.163803
05.25.24	0.163804	0.17396
05.26.24	0.173961	0.16622
05.27.24	0.16622	    0.16909
05.28.24	0.16909	    0.164962
05.29.24	0.164964	0.163695
05.30.24	0.163696	0.159544
05.31.24	0.159539	0.159136
06.01.24	0.159136	0.1602
06.02.24	0.1602	    0.157201
06.03.24	0.157201	0.158282
06.04.24	0.158282	0.16145
06.05.24	0.16145	    0.163235
06.06.24	0.163235	0.160159
06.07.24	0.160158	0.148303
06.08.24	0.148296	0.146059
06.09.24	0.146045	0.146774
06.10.24	0.146767	0.14474
06.11.24	0.144742	0.138104
06.12.24	0.138097	0.146196
06.13.24	0.146197	0.14106
06.14.24	0.141046	0.13497
06.15.24	0.134975	0.136566
06.16.24	0.136576	0.136937
06.17.24	0.13694	    0.128889
06.18.24	0.128866	0.122296
06.19.24	0.122279	0.122341
06.20.24	0.122341	0.124419
06.21.24	0.12443	    0.124029
06.22.24	0.124038	0.123789
06.23.24	0.123783	0.122257
06.24.24	0.122249	0.119043
06.25.24	0.119033	0.126153
06.26.24	0.12615	    0.122679
06.27.24	0.122672	0.126911
06.28.24	0.12691	    0.122789
06.29.24	0.122795	0.121699
06.30.24	0.121699	0.124305
07.01.24	0.124304	0.123442
07.02.24	0.123439	0.125016
07.03.24	0.125019	0.118471
07.04.24	0.118448	0.104887
07.05.24	0.104853	0.105594
07.06.24	0.105585	0.113615
07.07.24	0.113577	0.104232
07.08.24	0.104235	0.107581
07.09.24	0.10757	    0.107513
07.10.24	0.107519	0.108022
07.11.24	0.108024	0.106667
07.12.24	0.106664	0.107685
07.13.24	0.107685	0.112356
07.14.24	0.11235	    0.115449
07.15.24	0.115471	0.125228
07.16.24	0.125164	0.124931
07.17.24	0.124933	0.121884
07.18.24	0.121879	0.119496
07.19.24	0.119501	0.12548
07.20.24	0.125475	0.13443
07.21.24	0.13443	    0.140169
