Date        Open        Close
01.01.24	42280.23	44167.33
01.02.24	44187.14	44957.97
01.03.24	44961.6	    42848.18
01.04.24	42855.82	44179.92
01.05.24	44192.98	44162.69
01.06.24	44178.95	43989.2
01.07.24	43998.46	43943.1
01.08.24	43948.71	46970.5
01.09.24	46987.64	46139.73
01.10.24	46121.54	46627.78
01.11.24	46656.07	46368.59
01.12.24	46354.79	42853.17
01.13.24	42799.45	42842.38
01.14.24	42842.26	41796.27
01.15.24	41715.07	42511.97
01.16.24	42499.34	43154.95
01.17.24	43132.1	    42742.65
01.18.24	42742.31	41262.06
01.19.24	41278.46	41618.41
01.20.24	41624.59	41665.59
01.21.24	41671.49	41545.79
01.22.24	41553.65	39507.37
01.23.24	39518.71	39845.55
01.24.24	39877.59	40077.07
01.25.24	40075.55	39933.81
01.26.24	39936.82	41816.87
01.27.24	41815.63	42120.05
01.28.24	42126.13	42035.59
01.29.24	42030.91	43288.25
01.30.24	43300.23	42952.61
01.31.24	42946.25	42582.61
02.01.24	42569.76	43075.77
02.02.24	43077.64	43185.86
02.03.24	43184.96	42992.25
02.04.24	42994.94	42583.58
02.05.24	42577.62	42658.67
02.06.24	42657.39	43084.67
02.07.24	43090.02	44318.22
02.08.24	44332.13	45301.57
02.09.24	45297.38	47147.2
02.10.24	47153.53	47771.28
02.11.24	47768.97	48293.92
02.12.24	48296.39	49958.22
02.13.24	49941.36	49742.44
02.14.24	49733.45	51826.7
02.15.24	51836.79	51938.55
02.16.24	51937.73	52160.2
02.17.24	52161.68	51663.0
02.18.24	51661.97	52122.55
02.19.24	52134.81	51779.14
02.20.24	51777.73	52284.88
02.21.24	52273.54	51839.18
02.22.24	51854.64	51304.97
02.23.24	51283.91	50731.95
02.24.24	50736.37	51571.1
02.25.24	51565.21	51733.24
02.26.24	51730.54	54522.4
02.27.24	54519.36	57085.37
02.28.24	57071.1	    62504.79
02.29.24	62499.18	61198.38
03.01.24	61168.06	62440.63
03.02.24	62431.65	62029.85
03.03.24	62031.58	63167.37
03.04.24	63137.0	    68330.41
03.05.24	68341.05	63801.2
03.06.24	63776.05	66106.8
03.07.24	66099.74	66925.48
03.08.24	66938.09	68300.09
03.09.24	68299.26	68498.88
03.10.24	68500.26	69019.79
03.11.24	69020.55	72123.91
03.12.24	72125.13	71481.29
03.13.24	71482.12	73083.5
03.14.24	73079.38	71396.59
03.15.24	71387.88	69403.77
03.16.24	69392.48	65315.12
03.17.24	65316.34	68390.63
03.18.24	68371.3	    67548.59
03.19.24	67556.13	61912.77
03.20.24	61930.16	67913.67
03.21.24	67911.59	65491.39
03.22.24	65489.93	63778.76
03.23.24	63802.72	64062.2
03.24.24	64070.75	67234.17
03.25.24	67234.09	69958.81
03.26.24	69931.33	69987.84
03.27.24	69991.9	    69455.34
03.28.24	69452.77	70744.95
03.29.24	70744.8	    69892.83
03.30.24	69893.45	69645.3
03.31.24	69647.78	71333.65
04.01.24	71333.48	69702.15
